SMILES,nAtom,AMR,nAtomLAC,ALogp2,naAromAtom,nAromBond,nAtomLC,ALogP,nAtomP,nRotB,MLogP,nB,XLogP
InChI%3D1S%2FC12H19N%2Fc1-8%282%2910-6-5-7-11%289%283%294%2912%2810%2913%2Fh5-9H%2C13H2%2C1-4H3,32.0,60.601001739502,3.0,0.924097716808319,6.0,6.0,3.0,0.961300015449524,7.0,2.0,2.67000007629395,13.0,2.83299994468689
InChI%3D1S%2FC10H8%2Fc1-2-6-10-8-4-3-7-9%2810%295-1%2Fh1-8H,18.0,49.1528015136719,0.0,3.7939248085022,10.0,11.0,0.0,1.94780004024506,10.0,0.0,2.55999994277954,11.0,3.22399997711182
InChI%3D1S%2FC14H9Cl5O%2Fc15-11-5-1-9%282-6-11%2913%2820%2C14%2817%2C18%2919%2910-3-7-12%2816%298-4-10%2Fh1-8%2C20H,29.0,94.7104034423828,2.0,16.7772159576416,12.0,12.0,6.0,4.09600019454956,6.0,3.0,2.33999991416931,21.0,3.36500000953674
InChI%3D1S%2FC8H17Br%2Fc1-2-3-4-5-6-7-8-9%2Fh2-8H2%2C1H3,26.0,36.6795997619629,8.0,0.602641701698303,0.0,0.0,9.0,-0.776300013065338,0.0,6.0,2.23000001907349,8.0,4.93900012969971
InChI%3D1S%2FC7H5NO4%2Fc9-4-5-3-6%2810%291-2-7%285%298%2811%2912%2Fh1-4%2C10H,17.0,11.7442998886108,0.0,0.489020496606827,6.0,6.0,2.0,-0.699299991130829,12.0,2.0,1.67999994754791,12.0,1.37100005149841
InChI%3D1S%2FC12H12N2O3%2Fc1-2-12%288-6-4-3-5-7-8%299%2815%2913-11%2817%2914-10%2812%2916%2Fh3-7H%2C2H2%2C1H3%2C%28H2%2C13%2C14%2C15%2C16%2C17%29,29.0,64.2021026611328,2.0,0.00708964001387358,6.0,6.0,2.0,0.0842000022530556,8.0,2.0,2.23000001907349,18.0,2.11100006103516
InChI%3D1S%2FC9H10O%2Fc1-2-5-8-6-3-4-7-9%288%2910%2Fh2-4%2C6-7%2C10H%2C1%2C5H2,20.0,46.2430000305176,3.0,2.80026745796204,6.0,6.0,3.0,1.67340004444122,7.0,2.0,2.33999991416931,10.0,1.98300004005432
InChI%3D1S%2FC9H10O3%2Fc1-2-12-9-5-7%286-10%293-4-8%289%2911%2Fh3-6%2C11H%2C2H2%2C1H3,22.0,48.5723991394043,2.0,0.0416568107903004,6.0,6.0,3.0,0.204099997878075,10.0,3.0,2.11999988555908,12.0,1.01199996471405
InChI%3D1S%2FC6H12O%2Fc7-6-4-2-1-3-5-6%2Fh6-7H%2C1-5H2,19.0,20.5205001831055,0.0,3.80523037910461,0.0,0.0,0.0,-1.95070004463196,0.0,0.0,2.00999999046326,7.0,1.3289999961853
InChI%3D1S%2FC7H5ClO%2Fc8-7-3-1-6%285-9%292-4-7%2Fh1-5H,14.0,40.7458000183105,0.0,1.91573286056519,6.0,6.0,2.0,1.38409996032715,8.0,1.0,2.00999999046326,9.0,1.00699996948242
