SMILES,RotatableBonds,ZagrebIndex1,FractionRotatableBonds,NumberOfBonds,HeteroCycles,MolecularWeight,PolarSurfaceArea,KierShape1,MolarRefractivity,HBD1,KierShape2,KierShape3,GraphShapeCoefficient,NumberOfAtoms,HeavyBonds,AromaticBonds,HBA1,AcidicGroups,HBA2,LogP
InChI%3D1S%2FC10H8%2Fc1-2-6-10-8-4-3-7-9%2810%295-1%2Fh1-8H,0.0,50.0,0.0,11.0,0.0,120.109996795654,0.0,6.69421487603306,43.948,0.0,2.93877551020408,1.38271604938272,4.0,10.0,11.0,11.0,0.0,0.0,0.0,2.8398
InChI%3D1S%2FC9H7N3O4S%2Fc1-5%2813%2910-9-11-6%284-17-9%297-2-3-8%2816-7%2912%2814%2915%2Fh2-4H%2C1H3%2C%28H%2C10%2C11%2C13%29,3.0,86.0,0.166666666666667,18.0,2.0,246.182996749878,132.68,13.4320987654321,64.0358,1.0,5.76,3.48444444444444,9.0,17.0,18.0,10.0,5.0,0.0,5.0,3.4424
InChI%3D1S%2FC11H13N5O4%2Fc1-15%282%297-12-11-14-13-9%2820-11%295-3-8-4-6-10%2819-8%2916%2817%2918%2Fh3-6H%2C7H2%2C1-2H3%2C%28H%2C12%2C14%29,5.0,98.0,0.238095238095238,21.0,2.0,266.1519947052,117.58,16.3718820861678,72.6864,2.0,7.85204081632653,5.37890625,12.0,20.0,21.0,10.0,4.0,0.0,4.0,0.2002
InChI%3D1S%2FC12H5Cl5%2Fc13-8-3-1-2-6%2810%288%2915%297-4-5-9%2814%2912%2817%2911%287%2916%2Fh1-5H,1.0,88.0,0.0555555555555556,18.0,0.0,321.396991729736,0.0,13.4320987654321,76.928,0.0,5.32544378698225,2.56,7.0,17.0,18.0,12.0,0.0,0.0,0.0,6.6206
InChI%3D1S%2FC3H6O2%2Fc4-1-3-2-5-3%2Fh3-4H%2C1-2H2,1.0,22.0,0.2,5.0,1.0,68.0309982299805,32.76,3.2,16.8258,1.0,1.0,0.326530612244898,2.0,5.0,5.0,0.0,2.0,0.0,2.0,-0.6225
InChI%3D1S%2FC12H12N2O3%2Fc1-2-12%288-6-4-3-5-7-8%299%2815%2913-11%2817%2914-10%2812%2916%2Fh3-7H%2C2H2%2C1H3%2C%28H2%2C13%2C14%2C15%2C16%2C17%29,2.0,88.0,0.111111111111111,18.0,1.0,220.142994880676,82.25,13.4320987654321,58.317,2.0,5.32544378698225,2.29072315558802,7.0,17.0,18.0,6.0,5.0,0.0,5.0,1.2522
InChI%3D1S%2FC9H8N4O5%2Fc1-5%2814%2910-4-7-11-9%2812-18-7%296-2-3-8%2817-6%2913%2815%2916%2Fh2-3H%2C4H2%2C1H3%2C%28H%2C10%2C14%29,4.0,90.0,0.210526315789474,19.0,2.0,244.121994972229,130.47,14.409972299169,60.2638,1.0,6.43786982248521,3.99583766909469,10.0,18.0,19.0,10.0,6.0,0.0,6.0,2.2374
InChI%3D1S%2FC8H12N2O3%2Fc1-3-8%284-2%295%2811%299-7%2813%2910-6%288%2912%2Fh3-4H2%2C1-2H3%2C%28H2%2C9%2C10%2C11%2C12%2C13%29,2.0,64.0,0.153846153846154,13.0,1.0,172.098996162415,82.25,11.0769230769231,42.921,2.0,4.02216066481994,1.77514792899408,5.0,13.0,13.0,0.0,5.0,0.0,5.0,0.7106
InChI%3D1S%2FC4H9N3O%2Fc8-6-7-3-1-5-2-4-7%2Fh5H%2C1-4H2,1.0,34.0,0.125,8.0,1.0,106.063998222351,49.28,6.125,26.4268,1.0,3.11111111111111,1.8,4.0,8.0,8.0,0.0,3.0,0.0,3.0,0.0539
InChI%3D1S%2FC6H7ClN2%2Fc7-4-1-2-5%288%296%289%293-4%2Fh1-3H%2C8-9H2,0.0,42.0,0.0,9.0,0.0,135.532997131348,52.04,7.11111111111111,40.2768,2.0,2.72222222222222,1.70414201183432,4.0,9.0,9.0,6.0,2.0,0.0,2.0,1.5044
