SMILES,Kier2,ATSc2,SP-7,C2SP2,VC-5,ATSc3,Kier3,khs.sssN,khs.ddsN,C2SP3,ATSp1,khs.ssO,WPOL,khs.aaCH,ATSp2,MDEO-22,SC-3,khs.dO,ATSc4,ATSp3,SC-4,ATSc5,ATSp4,SC-5,WPATH,khs.sNH2,ATSp5,khs.ssNH,SPC-4,khs.ssCH2,PetitjeanNumber,SPC-5,MDEN-33,MDEC-11,khs.dssC,SPC-6,MDEC-12,MDEC-33,MDEC-13,VPC-4,khs.aasC,VCH-5,khs.dsN,VP-0,VPC-5,ECCEN,geomShape,VCH-6,VP-1,VPC-6,Zagreb,VCH-7,fragC,MDEO-11,VP-2,ATSm1,MDEO-12,VP-3,SP-0,khs.sOH,khs.sCH3,ATSm2,C1SP2,VP-4,SP-1,VP-5,SP-2,ATSm3,C1SP3,MDEN-22,VP-6,SP-3,TopoPSA,ATSm4,SCH-5,VP-7,MDEN-23,MDEC-22,SP-4,khs.sssCH,ATSm5,khs.dsCH,topoShape,MDEC-23,SP-5,SCH-6,VC-3,VC-4,ATSc1,Kier1,SP-6,SCH-7,khs.sCl
InChI%3D1S%2FC10H8%2Fc1-2-6-10-8-4-3-7-9%2810%295-1%2Fh1-8H,2.93877553939819,0.0,0.70412415266037,8.0,0.0277777779847383,0.0,1.38271605968475,0.0,0.0,0.0,575.871765136719,0.0,12.0,8.0,650.17529296875,0.0,0.333333343267441,0.0,0.0,835.183166503906,0.0,0.0,681.418579101562,0.0833333358168602,109.0,0.0,303.666290283203,0.0,0.942809045314789,0.0,0.400000005960464,1.5,0.0,0.0,0.0,1.88561809062958,0.0,1.0,0.0,0.38490018248558,0.0,0.0,0.0,5.61880207061768,0.5,90.0,0.846294403076172,0.0555555559694767,3.40470051765442,0.513200223445892,50.0,0.0641500279307365,271.0,0.0,2.34715056419373,10.0,0.0,1.65868926048279,6.81155490875244,0.0,0.0,11.0,0.0,1.13290584087372,4.96632671356201,0.756600141525269,4.08907318115234,14.0,0.0,0.0,0.303561210632324,3.46632647514343,0.0,12.0,0.0,0.153877794742584,0.0,11.6786317825317,2.85758924484253,0.0,6.0,0.0,0.666666686534882,8.59655952453613,2.31649661064148,0.16666667163372,0.16666667163372,0.0,0.0,6.69421482086182,1.14011943340302,0.235702261328697,0.0
InChI%3D1S%2FC9H7N3O4S%2Fc1-5%2813%2910-9-11-6%284-17-9%297-2-3-8%2816-7%2912%2814%2915%2Fh2-4H%2C1H3%2C%28H%2C10%2C11%2C13%29,5.76000022888184,-0.289541035890579,1.42817711830139,0.0,0.0239986199885607,0.0506628677248955,3.48444437980652,0.0,1.0,4.0,964.811218261719,0.0,20.0,3.0,1113.06127929688,0.0,1.44570577144623,2.0,0.0501368045806885,1510.98107910156,0.0,-0.079084500670433,1160.01904296875,0.25,564.0,0.0,1108.84631347656,0.0,2.53411293029785,0.0,0.5,3.46912670135498,0.0,0.0,1.0,3.8432080745697,0.458566069602966,3.38654565811157,1.34123075008392,0.678539156913757,4.0,0.113077633082867,1.0,9.4703950881958,0.961624503135681,270.0,,0.107108667492867,5.38387537002563,0.836791634559631,86.0,0.111772589385509,353.079986572266,0.512992799282074,3.9058837890625,27.3055934906006,0.75394743680954,2.50821900367737,12.4138488769531,1.0,1.0,24.2737045288086,1.0,1.85244131088257,8.05855083465576,0.960562527179718,7.64593553543091,35.7953948974609,3.0,0.5,0.578781843185425,5.50974941253662,132.679992675781,27.7674541473389,0.235702261328697,0.337810784578323,0.338061690330505,1.31037068367004,4.50890254974365,0.0,31.497220993042,0.0,1.0,5.87101554870605,2.92683410644531,0.287457466125488,0.435922205448151,0.0,0.487411707639694,13.4320983886719,2.2708842754364,0.464041620492935,0.0
InChI%3D1S%2FC11H13N5O4%2Fc1-15%282%297-12-11-14-13-9%2820-11%295-3-8-4-6-10%2819-8%2916%2817%2918%2Fh3-6H%2C7H2%2C1-2H3%2C%28H%2C12%2C14%29,7.85204076766968,-0.437883675098419,1.40636730194092,5.0,0.00878410506993532,0.233544304966927,5.37890625,1.0,1.0,0.0,948.643920898438,1.0,22.0,2.0,1058.93017578125,0.200000002980232,1.5206207036972,2.0,-0.115356504917145,1366.640625,0.0,0.0390556156635284,1059.92199707031,0.16666667163372,994.0,0.0,979.227478027344,2.0,2.52706789970398,1.0,0.461538463830948,2.96062827110291,0.090909093618393,0.5,1.0,3.2269389629364,1.5201199054718,1.67667174339294,1.14585161209106,0.579329073429108,2.0,0.0634834766387939,1.0,11.06849193573,0.566222429275513,416.0,0.83175277709961,0.0650428757071495,5.84202003479004,0.466391086578369,98.0,0.0592920705676079,916.090026855469,0.5,4.28437471389771,24.8978157043457,0.81649661064148,2.28494334220886,14.5351696014404,0.0,2.0,25.1247692108154,1.0,1.39404094219208,9.5417137145996,0.774913728237152,8.77682495117188,34.3656005859375,1.0,1.65096366405487,0.418258160352707,6.30985593795776,,27.0650539398193,0.235702261328697,0.229227945208549,1.15010142326355,3.02566862106323,4.72464942932129,1.0,23.7369327545166,2.0,0.857142865657806,7.10510301589966,3.35837769508362,0.318041384220123,0.587926506996155,0.0,0.573145031929016,16.3718814849854,2.2778594493866,0.419897556304932,0.0
InChI%3D1S%2FC12H5Cl5%2Fc13-8-3-1-2-6%2810%288%2915%297-4-5-9%2814%2912%2817%2911%287%2916%2Fh1-5H,5.32544374465942,-0.0231912191957235,1.38600671291351,10.0,0.368599057197571,-0.0690544322133064,2.55999994277954,0.0,0.0,0.0,1508.69165039062,0.0,29.0,5.0,1767.8701171875,0.0,1.32092034816742,0.0,0.0268668755888939,2472.03686523438,0.0,0.0075004892423749,2520.91015625,0.595967054367065,484.0,0.0,1869.2861328125,0.0,3.80681467056274,0.0,0.5,5.32990312576294,0.0,0.0,0.0,7.59777164459229,0.0,9.33325862884521,0.0,2.45212435722351,7.0,0.0,0.0,12.0562181472778,2.89048099517822,220.0,0.83266407251358,0.0448895953595638,6.48943424224854,3.57990097999573,88.0,0.147867605090141,257.049987792969,0.0,5.27258253097534,55.5637664794922,0.0,4.38945341110229,12.5769853591919,0.0,0.0,27.7586860656738,0.0,2.48529291152954,8.01974487304688,1.57658743858337,7.36788129806519,45.5173721313477,0.0,0.0,0.923287570476532,6.67738246917725,0.0,75.5591125488281,0.0,0.493792295455933,0.0,3.83851957321167,4.72052145004272,0.0,51.1818656921387,0.0,1.0,12.614465713501,3.54300498962402,0.12359693646431,0.89687442779541,0.0,0.142714470624924,13.4320983886719,2.27921915054321,0.374108165502548,5.0
InChI%3D1S%2FC3H6O2%2Fc4-1-3-2-5-3%2Fh3-4H%2C1-2H2,1.0,-0.100388512015343,0.0,0.0,0.0,-0.0761098116636276,0.639999985694885,0.0,0.0,1.0,108.833946228027,1.0,2.0,0.0,114.96305847168,0.0,0.20412415266037,0.0,0.0379717871546745,65.0820922851562,0.0,0.0,32.9785003662109,0.0,17.0,0.0,0.0,0.0,0.20412415266037,2.0,0.333333343267441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0527046285569668,0.0,0.0,0.0,2.84702563285828,0.0,25.0,0.607325255870819,0.0,1.65710175037384,0.0,22.0,0.0,101.019996643066,0.0,1.13791596889496,6.54893827438354,0.333333343267441,0.439337313175201,3.69867062568665,1.0,0.0,5.99627590179443,0.0,0.105409257113934,2.4318516254425,0.0,1.85162401199341,3.66418385505676,2.0,0.0,0.0,0.98559856414795,32.7599983215332,3.10656094551086,0.0,0.0,0.0,0.5,0.40824830532074,1.0,0.0,0.0,0.5,2.0,0.0,0.0,0.117851130664349,0.0,0.277053087949753,3.20000004768372,0.0,0.0,0.0
InChI%3D1S%2FC12H12N2O3%2Fc1-2-12%288-6-4-3-5-7-8%299%2815%2913-11%2817%2914-10%2812%2916%2Fh3-7H%2C2H2%2C1H3%2C%28H2%2C13%2C14%2C15%2C16%2C17%29,5.32544374465942,-0.294875830411911,1.17533838748932,5.0,0.175469577312469,0.26962611079216,2.29072308540344,,,1.0,1080.85302734375,,31.0,5.0,1282.33203125,0.0,1.29103946685791,,-0.326041221618652,1854.34838867188,0.0680413842201233,0.146636709570885,2014.71813964844,0.635379731655121,458.0,0.0,1560.09875488281,0.0,3.75820827484131,1.0,0.5,7.24003458023071,0.0,0.0,3.0,8.61607551574707,1.63976919651031,2.67269611358643,1.17348229885101,1.46950852870941,1.0,0.0,,9.29096126556396,2.1247763633728,210.0,0.65050858259201,0.0445750132203102,5.26710891723633,1.86323297023773,88.0,0.0474097840487957,628.049987792969,0.75,3.77830338478088,20.0433826446533,0.0,2.96345019340515,12.4662551879883,,1.0,19.6610164642334,2.0,1.9982715845108,8.10822582244873,1.08343553543091,7.17953109741211,29.570405960083,1.0,0.5,0.519090533256531,6.324462890625,82.25,35.3180313110352,0.0,0.242734625935555,0.0,6.94562911987305,5.65824890136719,0.0,35.7520942687988,0.0,1.0,7.5181999206543,3.53914260864258,0.150174587965012,0.551823198795319,0.0441941730678082,0.415953427553177,13.4320983886719,2.31121063232422,0.25716707110405,
InChI%3D1S%2FC9H8N4O5%2Fc1-5%2814%2910-4-7-11-9%2812-18-7%296-2-3-8%2817-6%2913%2815%2916%2Fh2-3H%2C4H2%2C1H3%2C%28H%2C10%2C14%29,6.43787002563477,-0.278917700052261,1.44624304771423,0.0,0.0205692183226347,-0.194182813167572,3.99583768844604,0.0,1.0,3.0,719.282958984375,0.0,21.0,2.0,819.378356933594,0.25,1.44570577144623,2.0,0.37240868806839,1095.91516113281,0.0,-0.220335140824318,861.80712890625,0.25,685.0,0.0,805.118530273438,0.0,2.61357235908508,1.0,0.454545468091965,3.18411183357239,0.0,0.0,1.0,3.75722193717957,0.5,3.08133912086487,1.15627098083496,0.508146584033966,4.0,0.0544331036508083,1.0,9.23086833953857,0.526633381843567,313.0,,0.0568648241460323,4.83220052719116,0.457096070051193,90.0,0.0589754469692707,423.089996337891,0.481411129236221,3.27015781402588,23.3122978210449,1.17598414421082,1.90337264537811,13.1209554672241,1.0,1.0,22.9858779907227,1.0,1.14719223976135,8.55855083465576,0.619544267654419,7.98758363723755,32.6148872375488,5.0,1.04004192352295,0.331766486167908,5.85727643966675,130.470001220703,26.7286186218262,0.235702261328697,0.164282515645027,0.512992799282074,0.965489387512207,4.45938396453857,0.0,24.9544887542725,0.0,0.833333313465118,5.45638656616211,3.16453075408936,0.287457466125488,0.363447725772858,0.0,0.610772609710693,14.4099721908569,2.37397837638855,0.474854648113251,0.0
InChI%3D1S%2FC8H12N2O3%2Fc1-3-8%284-2%295%2811%299-7%2813%2910-6%288%2912%2Fh3-4H2%2C1-2H3%2C%28H2%2C9%2C10%2C11%2C12%2C13%29,4.02216053009033,-0.299251973628998,0.272165536880493,0.0,0.120710678398609,0.287440985441208,1.77514791488647,0.0,0.0,2.0,692.318664550781,0.0,23.0,0.0,795.164123535156,0.0,1.22130084037781,1.0,-0.339137047529221,1123.52844238281,0.0833333358168602,0.154155761003494,1155.88635253906,0.537457466125488,220.0,0.0,653.085571289062,0.0,3.49267768859863,2.0,0.5,5.97511339187622,0.0,0.25,3.0,5.40539932250977,2.30940103530884,1.5,1.68686532974243,1.49885749816895,0.0,0.0,2.0,7.61131620407104,1.90012729167938,111.0,0.693322777748108,0.0125000001862645,4.16708517074585,0.969131648540497,64.0,0.0339611135423183,469.049987792969,0.75,2.94260811805725,16.0433826446533,0.0,2.46625971794128,10.0604782104492,2.0,2.0,14.6610174179077,2.0,1.40266084671021,6.06371450424194,0.438556730747223,5.31894159317017,22.570405960083,2.0,0.5,0.218388840556145,4.79122352600098,,27.3180313110352,0.0,0.0511667281389236,0.0,0.5,3.9022970199585,0.0,22.7555408477783,0.0,1.0,2.38110160827637,1.65565967559814,0.0481125228106976,0.567601501941681,0.0625,0.408514112234116,11.0769233703613,1.22610127925873,0.212378948926926,0.0
InChI%3D1S%2FC4H9N3O%2Fc8-6-7-3-1-5-2-4-7%2Fh5H%2C1-4H2,3.11111116409302,-0.061790119856596,0.144337564706802,0.0,0.0,-0.030154749751091,1.79999995231628,1.0,0.0,0.0,299.339477539062,0.0,7.0,0.0,315.014465332031,0.0,0.20412415266037,1.0,0.0311528146266937,353.282562255859,0.0,-0.0345791764557362,239.568893432617,0.0,64.0,0.0,72.6786575317383,1.0,0.492799282073975,4.0,0.400000005960464,0.594861328601837,0.0,0.0,0.0,0.492799282073975,0.0,0.0,0.0,0.182246178388596,0.0,0.0,1.0,4.63110256195068,0.178445711731911,60.0,0.509001314640045,0.0559016987681389,2.72213649749756,0.128867506980896,34.0,0.025000000372529,233.039993286133,0.0,1.78531277179718,9.85443305969238,0.0,1.20885801315308,5.81999111175537,0.0,0.0,9.5781946182251,0.0,0.734680831432343,3.9318516254425,0.446945697069168,2.91228413581848,10.5505771636963,4.0,0.25,0.0788675099611282,2.30209517478943,44.7000007629395,8.35654258728027,0.0,0.020412415266037,1.15470051765442,3.30192732810974,1.59538793563843,0.0,4.02417182922363,0.0,0.666666686534882,0.0,1.10517168045044,0.102062076330185,0.100000001490116,0.0,0.134822562336922,6.125,0.348461717367172,0.0721687823534012,
InChI%3D1S%2FC6H7ClN2%2Fc7-4-1-2-5%288%296%289%293-4%2Fh1-3H%2C8-9H2,2.72222232818604,-0.0120040671899915,0.0680413842201233,6.0,0.0277777779847383,-0.0129032032564282,1.70414197444916,0.0,0.0,0.0,496.256896972656,0.0,10.0,3.0,538.678894042969,0.0,0.760079681873322,0.0,-0.00937795545905828,672.976928710938,0.0,-0.00886305514723063,512.916015625,0.16666667163372,84.0,2.0,180.876937866211,0.0,1.47827804088593,0.0,0.400000005960464,1.55802857875824,0.0,0.0,0.0,2.07593297958374,0.0,1.65096366405487,0.0,0.48582935333252,3.0,0.0,0.0,5.5206446647644,0.461769163608551,67.0,0.60877937078476,0.0240562614053488,2.88233089447021,0.50458174943924,42.0,0.0550550147891045,184.029998779297,0.0,2.20967483520508,17.4327297210693,0.0,1.28393113613129,6.85337114334106,0.0,0.0,11.2841081619263,0.0,0.726155757904053,4.19837713241577,0.444296807050705,3.87279200553894,16.5682163238525,0.0,0.0,0.13738726079464,2.86036610603333,52.0400009155273,14.9282035827637,0.0,0.00801875349134207,0.0,1.65096366405487,1.81676292419434,0.0,8.72638034820557,0.0,0.666666686534882,5.85380077362061,1.33160018920898,0.0680413842201233,0.355648905038834,0.0,0.0605827607214451,7.11111116409302,0.504473328590393,0.20412415266037,1.0
